;Rússia;Paraguai;Estados Unidos;China;Espanha;Haiti;Reino Unido;Países Baixos;Japão;Alemanha
2008;6207658;2191901;443895;8689;2942;20;100097;340412;232293;265742
2009;21912914;486927;372319;1553416;2181;4500;30092;171654;217974;225086
2010;0;510989;228968;795;0;2700;123624;87368;112178;27715
2011;0;240168;306787;54156;5206;0;122629;125414;100835;36070
2012;4528176;354824;146585;87905;0;0;82937;134879;29281;8189
2013;5893291;481564;245368;40929;1972980;0;59161;57792;91988;61699
2014;190656;521847;222267;64040;0;0;305807;165289;106426;213348
2015;47664;495428;195896;47609;0;0;68382;44987;31597;10680
2016;0;985739;258072;134106;0;0;117044;42953;34341;14012
2017;0;2393468;132688;67594;0;0;60711;0;33909;15467
2018;0;3234168;169109;30835;6123;79500;67708;9451;36992;10794
2019;0;2419537;209765;129852;3540;81873;34295;44882;40621;3660
2020;1463;3299013;300178;122253;28;399128;22913;248;36442;6261
2021;181931;6522527;111085;61884;0;670379;25316;3791;39491;2698
2022;66046;5076670;220373;105395;0;553503;18835;7034;37324;7630
