;Paraguai;Rússia;Estados Unidos;China;Reino Unido;Espanha;Países Baixos;Alemanha;Japão;Haiti
2008;1374088;2352768;804607;25926;155076;6834;783635;429970;178333;20
2009;392087;5732280;660066;482400;68788;4050;136991;393482;283436;5863
2010;449197;0;478630;2358;295690;0;302182;138666;74628;3750
2011;276281;0;1030254;334867;285642;24618;395356;144150;144662;0
2012;428279;2103968;303986;642177;334856;0;539641;56342;116961;0
2013;680828;14795694;786556;279956;305005;3748940;255690;265978;429088;0
2014;908028;61440;494216;455340;1373747;0;773767;761653;401774;0
2015;741370;18240;524109;222866;308407;0;186464;44780;87853;0
2016;1655417;0;687411;499622;536681;0;190203;68109;90954;0
2017;4274650;0;1523699;266086;242883;0;0;87702;92886;0
2018;5494321;0;512519;126336;296827;22631;32395;45382;112342;144425
2019;3826587;0;616274;376828;164592;1353;148031;25467;99642;129803
2020;3869243;8550;610793;363000;82722;126;1532;32605;92674;471152
2021;7192362;312926;203554;264116;122394;0;8484;6741;90275;831181
2022;7156293;118618;447893;404647;138154;0;37240;45367;82208;741014
